DEPARTAMENTO ,LOCALIDAD ,PROYECCION
CALAMUCHITA ,AMBOY ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,ARROYO SAN ANTONIO ,PDF
CALAMUCHITA ,CAÑADA DEL SAUCE ,PDF
CALAMUCHITA ,CAPILLA VIEJA ,PDF
CALAMUCHITA ,EL CORCOVADO - EL TORREON ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,EL DURAZNO ,PDF
CALAMUCHITA ,EMBALSE ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LA CRUZ ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LA CUMBRECITA ,PDF
CALAMUCHITA ,LAS BAJADAS ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LAS CALERAS ,PDF
CALAMUCHITA ,LOS CONDORES ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LOS MOLINOS ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LOS REARTES ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,LUTTI ,PDF
CALAMUCHITA ,PARQUE CALMAYO ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,RIO DE LOS SAUCES ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,SAN AGUSTIN ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,SAN IGNACIO  (LOTEO SAN JAVIER) ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,SANTA ROSA DE CALAMUCHITA ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
CALAMUCHITA ,SEGUNDA USINA ,PDF
CALAMUCHITA ,SOLAR DE LOS MOLINOS ,PDF
CALAMUCHITA ,VILLA ALPINA ,PDF
CALAMUCHITA ,VILLA AMANCAY ,PDF
CALAMUCHITA ,VILLA BERNA ,PDF
CALAMUCHITA ,VILLA CIUDAD PARQUE LOS REARTES ,"Gauss Kruger Zona 4 (WGS84), -63º (POSGAR98)"
