FID,destino,definitiva,utilidadpu,nombreofic,numeroparc,nomenclatu,shape_area,shape_len,geom
catastro-sde-parcela.1,1,2,2,,11,15-21-066-011,205.78977956,60.11347773,"MULTIPOLYGON (((-64.19248861839402 -31.370804883934674, -64.19246395512862 -31.37064672356491, -64.19246181447504 -31.370633015549995, -64.19235383808824 -31.370645269657558, -64.19237718180646 -31.37082220114619, -64.19248861839402 -31.370804883934674)))"
catastro-sde-parcela.2,1,2,2,,3,15-21-066-003,169.56973796,54.73002035,"MULTIPOLYGON (((-64.19235383808824 -31.370645269657558, -64.19233265392774 -31.37048470003686, -64.19223302951684 -31.370496729417646, -64.19225590031029 -31.370656384701864, -64.19235383808824 -31.370645269657558)))"
catastro-sde-parcela.3,1,2,2,,4,15-21-066-004,183.7093396,56.23769499,"MULTIPOLYGON (((-64.19225590031029 -31.370656384701864, -64.19223302951684 -31.370496729417646, -64.19212450606673 -31.370509836699306, -64.19213729104602 -31.370591316881143, -64.1921493998801 -31.37066847373863, -64.19225590031029 -31.370656384701864)))"
catastro-sde-parcela.4,1,2,2,,10,15-21-066-010,185.72661625,58.55308588,"MULTIPOLYGON (((-64.19237718180646 -31.37082220114619, -64.19235383808824 -31.370645269657558, -64.19225590031029 -31.370656384701864, -64.19228178192782 -31.370837025906646, -64.19237718180646 -31.37082220114619)))"
catastro-sde-parcela.5,1,2,2,,9,15-21-066-009,206.3240397,61.0618013,"MULTIPOLYGON (((-64.19228178192782 -31.370837025906646, -64.19225590031029 -31.370656384701864, -64.1921493998801 -31.37066847373863, -64.19216272244087 -31.370753375648693, -64.19217836603164 -31.37085309254712, -64.19228178192782 -31.370837025906646)))"
catastro-sde-parcela.6,1,2,2,,6,15-21-066-006,171.35527496,57.25246668,"MULTIPOLYGON (((-64.1921493998801 -31.37066847373863, -64.19213729104602 -31.370591316881143, -64.1919263189956 -31.37061568998448, -64.19194147765722 -31.370690584427514, -64.1921493998801 -31.37066847373863)))"
catastro-sde-parcela.7,1,2,2,,5,15-21-066-005,184.9774063,58.97021558,"MULTIPOLYGON (((-64.19213729104602 -31.370591316881143, -64.19212450606673 -31.370509836699306, -64.19191013220289 -31.370535727988617, -64.1919263189956 -31.37061568998448, -64.19213729104602 -31.370591316881143)))"
catastro-sde-parcela.8,1,2,2,,1,15-21-066-001,173.36486006,55.10701851,"MULTIPOLYGON (((-64.19264011775246 -31.370533952035874, -64.1926167733102 -31.370450382198317, -64.19243672533904 -31.370472129503213, -64.19245065706556 -31.370561456111172, -64.19264011775246 -31.370533952035874)))"
catastro-sde-parcela.9,1,2,2,,14,15-21-066-014,173.61704224,55.97146547,"MULTIPOLYGON (((-64.19266125823006 -31.370613137166234, -64.19265577289254 -31.37058998635628, -64.19264011775246 -31.370533952035874, -64.19245065706556 -31.370561456111172, -64.19246395512862 -31.37064672356491, -64.19266125823006 -31.370613137166234)))"
catastro-sde-parcela.10,1,2,2,,7,15-21-066-007,188.96874288,58.64675652,"MULTIPOLYGON (((-64.19216272244087 -31.370753375648693, -64.1921493998801 -31.37066847373863, -64.19194147765722 -31.370690584427514, -64.19195882349597 -31.37077628465714, -64.19216272244087 -31.370753375648693)))"
catastro-sde-parcela.11,1,2,2,,8,15-21-066-008,224.89377632,61.95212742,"MULTIPOLYGON (((-64.19217836603164 -31.37085309254712, -64.19216272244087 -31.370753375648693, -64.19195882349597 -31.37077628465714, -64.19198059064085 -31.370883826992813, -64.19217836603164 -31.37085309254712)))"
catastro-sde-parcela.12,1,2,2,,20,15-21-056-020,167.82340701,54.67855398,"MULTIPOLYGON (((-64.19171774695054 -31.37020937683546, -64.19170132701855 -31.370127984966796, -64.19151390282018 -31.370155871873816, -64.19153228131496 -31.370239668641748, -64.19171774695054 -31.37020937683546)))"
catastro-sde-parcela.13,1,2,2,,15,15-21-056-015,221.64869709,60.7427213,"MULTIPOLYGON (((-64.19174974579633 -31.37035554285407, -64.19173019358564 -31.370245854975398, -64.19154091607209 -31.3702727260867, -64.19156170805749 -31.370380222977797, -64.19174974579633 -31.37035554285407)))"
catastro-sde-parcela.14,1,2,2,,13,15-21-056-013,171.31276111,55.13583227,"MULTIPOLYGON (((-64.19177841597691 -31.37051639578203, -64.19176404681131 -31.37043579116061, -64.19157614290448 -31.370460617044007, -64.19159198388056 -31.37054888036378, -64.19177841597691 -31.37051639578203)))"
catastro-sde-parcela.15,1,2,2,,17,15-21-056-017,166.074428,54.92334439,"MULTIPOLYGON (((-64.19148587978819 -31.37044770247858, -64.19144760615178 -31.37028597281823, -64.19135428157473 -31.370299223817796, -64.19137414973497 -31.37038317054893, -64.19139324248786 -31.37046384472724, -64.19148587978819 -31.37044770247858)))"
catastro-sde-parcela.16,1,2,2,,12,15-21-056-012,228.9362623,61.25602446,"MULTIPOLYGON (((-64.19159198388056 -31.37054888036378, -64.19157614290448 -31.370460617044007, -64.19157115749776 -31.370432846370285, -64.19148587978819 -31.37044770247858, -64.19139324248786 -31.37046384472724, -64.19139768224777 -31.370503068109446, -64.19140762716165 -31.370581001044993, -64.19159198388056 -31.37054888036378)))"
catastro-sde-parcela.17,1,2,2,,16,15-21-056-016,157.11065793,53.56748801,"MULTIPOLYGON (((-64.19157115749776 -31.370432846370285, -64.19156170805749 -31.370380222977797, -64.19154091607209 -31.3702727260867, -64.19144760615178 -31.37028597281823, -64.19148587978819 -31.37044770247858, -64.19157115749776 -31.370432846370285)))"
catastro-sde-parcela.18,1,2,2,,9,15-21-056-009,214.22330929,63.33222249,"MULTIPOLYGON (((-64.19137414973497 -31.37038317054893, -64.19135428157473 -31.370299223817796, -64.1913387747028 -31.370301425573377, -64.19112775214556 -31.370330685956663, -64.19114820388005 -31.3704201705471, -64.19137414973497 -31.37038317054893)))"
catastro-sde-parcela.19,1,2,2,,10,15-21-056-010,299.0648332,70.51409941,"MULTIPOLYGON (((-64.19139768224777 -31.370503068109446, -64.19139324248786 -31.37046384472724, -64.19137414973497 -31.37038317054893, -64.19114820388005 -31.3704201705471, -64.19116694599576 -31.370502162438072, -64.19118038848362 -31.3705431037715, -64.19139768224777 -31.370503068109446)))"
catastro-sde-parcela.20,1,2,2,,11,15-21-056-011,252.97644258,65.74214659,"MULTIPOLYGON (((-64.19141251101773 -31.370608096561018, -64.19140762716165 -31.370581001044993, -64.19139768224777 -31.370503068109446, -64.19118038848362 -31.3705431037715, -64.19121588391505 -31.37065922416316, -64.19141251101773 -31.370608096561018)))"
catastro-sde-parcela.21,1,2,2,,2,15-21-054-002,208.01968322,63.00812111,"MULTIPOLYGON (((-64.19286953655858 -31.36990949327379, -64.19284004445998 -31.369711214576636, -64.19273927655823 -31.369724477005466, -64.19277432527446 -31.369920570746487, -64.19286953655858 -31.36990949327379)))"
catastro-sde-parcela.22,1,2,2,,1,15-21-054-001,209.77287327,63.35527393,"MULTIPOLYGON (((-64.19297067108309 -31.369897730723935, -64.19293509551675 -31.369698706544803, -64.19284004445998 -31.369711214576636, -64.19286953655858 -31.36990949327379, -64.19297067108309 -31.369897730723935)))"
catastro-sde-parcela.23,1,2,2,,6,15-21-056-006,216.5772795,60.3185636,"MULTIPOLYGON (((-64.19102508021435 -31.369950172013983, -64.19106367087048 -31.370114599108764, -64.19118071438001 -31.370094841500666, -64.19115250785633 -31.369933404584053, -64.19102508021435 -31.369950172013983)))"
catastro-sde-parcela.24,1,1,2,,28,04-03-011-028,200.3061108,60.00985916,"MULTIPOLYGON (((-64.17686235584661 -31.41013189261959, -64.17697179734965 -31.41009779421027, -64.17693707021627 -31.41001205669209, -64.17682743878959 -31.410046721635354, -64.17673891171657 -31.410075767086123, -64.17677284903318 -31.41015855342682, -64.17686235584661 -31.41013189261959)))"
catastro-sde-parcela.25,1,1,2,,27,04-03-011-027,291.88658133,69.19096094,"MULTIPOLYGON (((-64.17691318634644 -31.410255892191838, -64.17702170757678 -31.410221020048933, -64.17697179734965 -31.41009779421027, -64.17686235584661 -31.41013189261959, -64.17677284903318 -31.41015855342682, -64.17682378544262 -31.410282808227283, -64.17691318634644 -31.410255892191838)))"
catastro-sde-parcela.26,1,1,2,,0,04-03-011-000,81.6405694,37.13653582,"MULTIPOLYGON (((-64.17665259166345 -31.40930968945677, -64.17654075115003 -31.40934737175711, -64.1765650928041 -31.409406754747792, -64.1766778961657 -31.40937216485096, -64.17665259166345 -31.40930968945677)))"
catastro-sde-parcela.27,1,1,2,,31,04-03-011-031,78.10954017,36.48941708,"MULTIPOLYGON (((-64.1766778961657 -31.40937216485096, -64.1765650928041 -31.409406754747792, -64.1765891919441 -31.409465535243967, -64.17670141734277 -31.409430238831295, -64.1766778961657 -31.40937216485096)))"
catastro-sde-parcela.28,1,1,2,,0,04-03-011-000,82.82051689,37.28156208,"MULTIPOLYGON (((-64.1767255889868 -31.409489917308424, -64.17661398317271 -31.40952601854132, -64.17663883486127 -31.40958663565895, -64.17675145692735 -31.409553785915705, -64.1767255889868 -31.409489917308424)))"
catastro-sde-parcela.29,1,1,2,,0,04-03-011-000,76.99795537,36.18887927,"MULTIPOLYGON (((-64.17679947200709 -31.409672333268887, -64.17668797297095 -31.409706510257752, -64.17671202684451 -31.409765181956683, -64.1768229124901 -31.409730206391174, -64.17679947200709 -31.409672333268887)))"
